"filename", "language", "TypeScript", "JSON", "Vue", "Markdown", "HTML", "XML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\services\sports-property-api.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\services\users-api.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\services\water-api.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\shims-tsx.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\shims-vue.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\shims-vuetify.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\ComparisonProperty.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\FiksuvesiResponse.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\FootballFieldAll.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\LastMeasurement.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\NotificationEnumerators.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\NotificationsType.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\SensorStatus.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\SportsPropertyType.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\StringLibrary.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 1, 18
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\TurfType.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\UserModeEnumerator.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\static\string-library.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\store\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\About.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\AllFields.vue", "Vue", 0, 0, 130, 0, 0, 0, 0, 0, 7, 16, 153
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\ComparisonTool.vue", "Vue", 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\DashboardBoss.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\DashboardCommon.vue", "Vue", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\Field.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\Home.vue", "Vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\LogicEdit.vue", "Vue", 0, 0, 1229, 0, 0, 0, 0, 0, 0, 29, 1258
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\Login.vue", "Vue", 0, 0, 103, 0, 0, 0, 0, 0, 1, 11, 115
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\PageNotFound.vue", "Vue", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\PropertyEdit.vue", "Vue", 0, 0, 703, 0, 0, 0, 0, 0, 15, 13, 731
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\Summary.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\views\UsersEdit.vue", "Vue", 0, 0, 182, 0, 0, 0, 0, 0, 0, 8, 190
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\tsconfig.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 11, 1, 43
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\vue.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"Total", "-", 1232, 14387, 4862, 19, 18, 1, 21, 11, 284, 493, 21328
